title,notes,artist_id
"Peter Serkin Plays Chopin","",90
"Music","",91
"1000 Forms of Fear","",91
"Bridge Over Troubled Water","",92
"Parsley, Sage, Rosemary, and Thyme","",92
"Still Crazy After All These Years","",93
"There Goes Rhymin' Simon","",93
"Louder Than Bombs","",94
"The Family That Plays Together","",95
"Gaucho","",96
"Greatest Hits","",96
"Katy Lied","",96
"Aja","",96
"Greatest Hits","",97
"Foreigner","",97
"Currents","",98
"At the Candlelight Café","",99
"Best of Traffic","",100
"John Barleycorn Must Die","",100
"Happy Together","",101
"The Greatest Jazz Concert in the World","",102
"Dances of the Renaissance","",103
"Gothic and Renaissance Dances","",103
"West Side Story Soundtrack","",104
"20 Rockin' Originals","",105
"West Side Story Movie Soundtrack","",106
"The Sound of Music Soundtrack","",107
"Bach: The Complete Flute Sonatas","",108
"Small Change","",109
"Nighthawks at the Diner","",109
"Who's Next","",110
"Vaughan Williams Concert","",111
"In 3-D","",112
"Hot Rats","",113
"The Grand Wazoo","",113
"Overnite Sensation","Duplicate copy",113
"Lumpy Gravy","",113
"The Grand Wazoo","Duplicate copy",113
"Waka/Jawaka","",113
"In New York","",113
"You Are What You Is","",113
"Bongo Fury","",113
"The Man From Utopia","",113
"Burnt Weeny Sandwich","",113
"One Size Fits All","",113
"Chunga's Revenge","",113
"Freak Out!","",113
"200 Motels","Bootleg",113
"Uncle Meat","",113
"Zoot Allures","",113
"Roxy & Elsewhere","",113
"Joe's Garage Act I","",113
"Just Another Band From L.A.","",113
"We're Only In It For the Money","",113
"Apostrophe","",113
"Fillmore East / June 1971","",113
"Sleep Dirt","",113
"Sheik Yerbouti","",113
"Orchestral Favorites","",113
"Weasels Ripped My Flesh","",113
"Joe's Garage Acts II & III","",113
"Studio Tan","",113
"Absolutely Free","",113
"200 Motels","",113
"Excitable Boy","",114
"Bad Luck Streak in Dancing School","",114
